ID	MALAT1	Type
TCGA-55-A48Z-01A-12R-A24X-07	43.22686	Tumor
TCGA-MN-A4N4-01A-12R-A24X-07	24.7709	Tumor
TCGA-49-6744-01A-11R-1858-07	36.11332	Tumor
TCGA-73-4676-01A-01R-1755-07	13.67709	Tumor
TCGA-38-4630-01A-01R-1206-07	36.63498	Tumor
TCGA-75-6207-01A-11R-1755-07	14.48137	Tumor
TCGA-86-A4P7-01A-11R-A24X-07	41.76564	Tumor
TCGA-05-4405-01A-21R-1858-07	30.33562	Tumor
TCGA-75-7027-01A-11R-1949-07	20.08747	Tumor
TCGA-97-7553-01A-21R-2039-07	18.92122	Tumor
TCGA-49-6761-01A-31R-1949-07	24.52147	Tumor
TCGA-05-4382-01A-01R-1206-07	12.33818	Tumor
TCGA-NJ-A4YG-01A-22R-A262-07	33.19618	Tumor
TCGA-78-8662-01A-11R-2403-07	10.87057	Tumor
TCGA-44-7672-01A-11R-2066-07	10.918	Tumor
TCGA-55-8619-01A-11R-2403-07	16.44959	Tumor
TCGA-50-5939-01A-11R-1628-07	5.585768	Tumor
TCGA-97-8552-01A-11R-2403-07	33.28343	Tumor
TCGA-55-7726-01A-11R-2170-07	33.98072	Tumor
TCGA-L9-A5IP-01A-21R-A39D-07	18.45471	Tumor
TCGA-55-7995-01A-11R-2187-07	38.89383	Tumor
TCGA-91-6847-01A-11R-1949-07	13.88572	Tumor
TCGA-64-1681-01A-11R-2066-07	19.73211	Tumor
TCGA-73-4659-01A-01R-1206-07	11.39997	Tumor
TCGA-86-A4P8-01A-11R-A24X-07	40.4158	Tumor
TCGA-50-5045-01A-01R-1628-07	3.858436	Tumor
TCGA-44-5643-01A-01R-1628-07	11.0826	Tumor
TCGA-97-A4M7-01A-11R-A24X-07	53.40151	Tumor
TCGA-86-8056-01A-11R-2241-07	46.82237	Tumor
TCGA-50-5066-01A-01R-1628-07	1.848037	Tumor
TCGA-L4-A4E5-01A-11R-A24X-07	73.74672	Tumor
TCGA-67-3773-01A-01R-0946-07	8.268282	Tumor
TCGA-78-7146-01A-11R-2039-07	13.6235	Tumor
TCGA-86-8671-01A-11R-2403-07	21.84531	Tumor
TCGA-62-A472-01A-11R-A24H-07	48.3371	Tumor
TCGA-78-7152-01A-11R-2039-07	13.93748	Tumor
TCGA-44-7659-01A-11R-2066-07	55.10641	Tumor
TCGA-05-5715-01A-01R-1628-07	4.517036	Tumor
TCGA-55-A48Y-01A-11R-A24H-07	16.57107	Tumor
TCGA-86-8054-01A-11R-2241-07	12.16303	Tumor
TCGA-44-2655-01A-01R-0946-07	10.14936	Tumor
TCGA-78-7220-01A-11R-2039-07	20.48365	Tumor
TCGA-91-6836-01A-21R-1858-07	27.18352	Tumor
TCGA-05-4420-01A-01R-1206-07	8.617242	Tumor
TCGA-38-6178-01A-11R-1755-07	25.41724	Tumor
TCGA-78-8640-01A-11R-2403-07	11.53025	Tumor
TCGA-67-3774-01A-01R-0946-07	22.74347	Tumor
TCGA-86-7701-01A-11R-2170-07	61.54031	Tumor
TCGA-55-A48X-01A-11R-A24H-07	31.74625	Tumor
TCGA-55-8614-01A-11R-2403-07	13.29584	Tumor
TCGA-44-A4SS-01A-11R-A24X-07	13.5835	Tumor
TCGA-MP-A4SV-01A-11R-A24X-07	37.92545	Tumor
TCGA-97-8547-01A-11R-2403-07	27.43598	Tumor
TCGA-O1-A52J-01A-11R-A262-07	35.56957	Tumor
TCGA-44-6145-01A-11R-1755-07	18.26288	Tumor
TCGA-64-1678-01A-01R-0946-07	5.619477	Tumor
TCGA-49-4505-01A-01R-1206-07	77.73678	Tumor
TCGA-44-7671-01A-11R-2066-07	4.346129	Tumor
TCGA-44-2665-01A-01R-0946-07	12.746	Tumor
TCGA-49-AARR-01A-11R-A41B-07	37.31657	Tumor
TCGA-55-8097-01A-11R-2241-07	42.5074	Tumor
TCGA-97-7546-01A-11R-2039-07	43.21073	Tumor
TCGA-55-7573-01A-11R-2039-07	35.87077	Tumor
TCGA-97-A4M6-01A-11R-A24X-07	29.0122	Tumor
TCGA-78-7537-01A-11R-2066-07	20.92251	Tumor
TCGA-75-6214-01A-41R-1949-07	17.73917	Tumor
TCGA-86-8358-01A-11R-2326-07	32.25038	Tumor
TCGA-50-5936-01A-11R-1628-07	8.876249	Tumor
TCGA-78-7167-01A-11R-2066-07	50.86655	Tumor
TCGA-55-8513-01A-11R-2403-07	23.97591	Tumor
TCGA-75-5125-01A-01R-1755-07	29.56773	Tumor
TCGA-NJ-A4YI-01A-11R-A262-07	43.7343	Tumor
TCGA-05-5429-01A-01R-1628-07	1.675813	Tumor
TCGA-44-5645-01A-01R-A278-07	1306.264	Tumor
TCGA-55-6978-01A-11R-1949-07	12.59376	Tumor
TCGA-86-8674-01A-21R-2403-07	15.24381	Tumor
TCGA-78-7156-01A-11R-2039-07	40.66	Tumor
TCGA-62-8402-01A-11R-2326-07	20.46514	Tumor
TCGA-71-6725-01A-11R-1858-07	17.0295	Tumor
TCGA-44-5644-01A-21R-2039-07	42.33562	Tumor
TCGA-97-A4M0-01A-11R-A24X-07	45.17991	Tumor
TCGA-50-7109-01A-11R-2039-07	19.74238	Tumor
TCGA-44-A4SU-01A-11R-A24X-07	42.70069	Tumor
TCGA-78-7145-01A-11R-2039-07	7.001352	Tumor
TCGA-44-7670-01A-11R-2066-07	10.84818	Tumor
TCGA-05-4396-01A-21R-1858-07	43.6389	Tumor
TCGA-95-8039-01A-11R-2241-07	16.59292	Tumor
TCGA-64-1676-01A-01R-0946-07	8.972971	Tumor
TCGA-95-8494-01A-11R-2326-07	36.9178	Tumor
TCGA-50-8459-01A-11R-2326-07	10.26713	Tumor
TCGA-86-7953-01A-11R-2187-07	21.03798	Tumor
TCGA-78-7150-01A-21R-2039-07	5.721595	Tumor
TCGA-78-7148-01A-11R-2039-07	4.785892	Tumor
TCGA-44-3917-01A-01R-A278-07	378.0803	Tumor
TCGA-55-A4DF-01A-11R-A24H-07	49.40802	Tumor
TCGA-50-5068-01A-01R-1628-07	2.961546	Tumor
TCGA-49-4514-01A-21R-1858-07	41.54587	Tumor
TCGA-35-4122-01A-01R-1107-07	0.6773996	Tumor
TCGA-86-8281-01A-11R-2287-07	59.54089	Tumor
TCGA-50-5066-02A-11R-2090-07	32.49499	Tumor
TCGA-97-8177-01A-11R-2287-07	33.57261	Tumor
TCGA-91-6829-01A-21R-1858-07	14.28671	Tumor
TCGA-44-4112-01A-01R-1107-07	12.61164	Tumor
TCGA-53-7624-01A-11R-2066-07	20.74056	Tumor
TCGA-55-8208-01A-11R-2241-07	20.70169	Tumor
TCGA-50-8460-01A-11R-2326-07	16.17742	Tumor
TCGA-55-6543-01A-11R-1755-07	26.17826	Tumor
TCGA-J2-A4AG-01A-11R-A24H-07	53.4815	Tumor
TCGA-93-7348-01A-21R-2039-07	52.67218	Tumor
TCGA-49-4501-01A-01R-1206-07	27.74688	Tumor
TCGA-49-AAR4-01A-12R-A41B-07	42.30371	Tumor
TCGA-55-6642-01A-11R-1858-07	34.47376	Tumor
TCGA-05-5423-01A-01R-1628-07	5.357956	Tumor
TCGA-05-4432-01A-01R-1206-07	13.01282	Tumor
TCGA-55-8512-01A-11R-2403-07	44.87842	Tumor
TCGA-05-4398-01A-01R-1206-07	27.84106	Tumor
TCGA-05-4433-01A-22R-1858-07	11.62758	Tumor
TCGA-62-8394-01A-11R-2326-07	16.23291	Tumor
TCGA-55-7911-01A-11R-2170-07	73.77909	Tumor
TCGA-50-5942-01A-21R-1755-07	10.79015	Tumor
TCGA-44-7662-01A-11R-2066-07	18.8001	Tumor
TCGA-55-A490-01A-11R-A466-07	19.02825	Tumor
TCGA-97-7941-01A-11R-2187-07	12.91974	Tumor
TCGA-97-8175-01A-11R-2287-07	19.25932	Tumor
TCGA-99-7458-01A-11R-2039-07	55.60659	Tumor
TCGA-55-8507-01A-11R-2403-07	16.81482	Tumor
TCGA-38-4629-01A-02R-1206-07	2.754044	Tumor
TCGA-86-7954-01A-11R-2187-07	18.20242	Tumor
TCGA-97-A4M3-01A-11R-A24X-07	52.61357	Tumor
TCGA-55-6984-01A-11R-1949-07	15.49382	Tumor
TCGA-55-8205-01A-11R-2241-07	20.70484	Tumor
TCGA-55-7816-01A-11R-2170-07	33.82506	Tumor
TCGA-99-AA5R-01A-11R-A39D-07	48.73181	Tumor
TCGA-55-7727-01A-11R-2170-07	125.5436	Tumor
TCGA-86-A456-01A-11R-A24H-07	46.74107	Tumor
TCGA-69-7765-01A-11R-2170-07	47.19062	Tumor
TCGA-64-5774-01A-01R-1628-07	6.661168	Tumor
TCGA-05-4427-01A-21R-1858-07	24.16941	Tumor
TCGA-50-6591-01A-11R-1755-07	18.36907	Tumor
TCGA-05-4397-01A-01R-1206-07	8.451611	Tumor
TCGA-93-7347-01A-11R-2187-07	13.09379	Tumor
TCGA-05-4395-01A-01R-1206-07	4.230848	Tumor
TCGA-44-8117-01A-11R-2241-07	46.73514	Tumor
TCGA-49-6742-01A-11R-1858-07	23.6875	Tumor
TCGA-86-8280-01A-11R-2287-07	25.0633	Tumor
TCGA-44-6147-01A-11R-A278-07	790.6677	Tumor
TCGA-MP-A4SY-01A-21R-A24X-07	39.22451	Tumor
TCGA-86-7955-01A-11R-2187-07	15.99927	Tumor
TCGA-L9-A8F4-01A-11R-A39D-07	34.00924	Tumor
TCGA-49-4507-01A-01R-1206-07	11.97111	Tumor
TCGA-55-7725-01A-11R-2170-07	97.5465	Tumor
TCGA-55-8511-01A-11R-2403-07	28.35226	Tumor
TCGA-55-A494-01A-11R-A24X-07	80.8958	Tumor
TCGA-L9-A50W-01A-12R-A39D-07	13.4817	Tumor
TCGA-44-3919-01A-02R-1107-07	19.78812	Tumor
TCGA-55-1594-01A-01R-0946-07	11.15068	Tumor
TCGA-55-8514-01A-11R-2403-07	42.49339	Tumor
TCGA-91-6849-01A-11R-1949-07	49.92726	Tumor
TCGA-69-7979-01A-11R-2187-07	19.82415	Tumor
TCGA-44-6775-01A-11R-A278-07	511.2986	Tumor
TCGA-44-3918-01A-01R-A278-07	502.6397	Tumor
TCGA-44-3917-01B-02R-A277-07	3773.222	Tumor
TCGA-62-8395-01A-11R-2326-07	18.30777	Tumor
TCGA-44-2662-01A-01R-0946-07	14.22357	Tumor
TCGA-L9-A743-01A-43R-A39D-07	41.1058	Tumor
TCGA-97-A4M5-01A-11R-A24X-07	25.92642	Tumor
TCGA-50-5049-01A-01R-1628-07	2.529128	Tumor
TCGA-62-A46Y-01A-11R-A24H-07	29.51429	Tumor
TCGA-05-5428-01A-01R-1628-07	1.585366	Tumor
TCGA-44-6147-01A-11R-1755-07	26.85964	Tumor
TCGA-49-AARE-01A-11R-A41B-07	25.75339	Tumor
TCGA-78-7159-01A-11R-2039-07	28.14145	Tumor
TCGA-55-7281-01A-11R-2039-07	16.09187	Tumor
TCGA-67-6217-01A-11R-1755-07	63.67256	Tumor
TCGA-MN-A4N5-01A-11R-A24X-07	42.09822	Tumor
TCGA-55-7724-01A-11R-2170-07	60.72671	Tumor
TCGA-MN-A4N1-01A-11R-A24X-07	18.42133	Tumor
TCGA-69-A59K-01A-11R-A262-07	96.84082	Tumor
TCGA-44-6775-01A-11R-1858-07	23.4157	Tumor
TCGA-99-8028-01A-11R-2241-07	39.48108	Tumor
TCGA-49-4506-01A-01R-1206-07	6.514145	Tumor
TCGA-44-2668-01A-01R-0946-07	11.12635	Tumor
TCGA-91-8497-01A-11R-2403-07	21.718	Tumor
TCGA-73-4670-01A-01R-1206-07	5.738611	Tumor
TCGA-44-3396-01A-01R-1206-07	15.62313	Tumor
TCGA-38-4627-01A-01R-1206-07	2.174212	Tumor
TCGA-55-A57B-01A-12R-A39D-07	52.6246	Tumor
TCGA-55-8616-01A-11R-2403-07	18.67268	Tumor
TCGA-55-8089-01A-11R-2241-07	19.55193	Tumor
TCGA-44-2668-01B-02R-A277-07	5180.425	Tumor
TCGA-NJ-A7XG-01A-12R-A39D-07	60.22647	Tumor
TCGA-49-AAQV-01A-11R-A39D-07	41.9178	Tumor
TCGA-55-8091-01A-11R-2241-07	39.11037	Tumor
TCGA-64-5779-01A-01R-1628-07	71.85232	Tumor
TCGA-86-8278-01A-11R-2287-07	37.0238	Tumor
TCGA-44-6777-01A-11R-1858-07	7.232951	Tumor
TCGA-55-8092-01A-11R-2241-07	53.27737	Tumor
TCGA-73-4675-01A-01R-1206-07	10.21232	Tumor
TCGA-73-4666-01A-01R-1206-07	28.98251	Tumor
TCGA-55-A4DG-01A-11R-A24H-07	86.30992	Tumor
TCGA-MP-A4TF-01A-11R-A262-07	42.40866	Tumor
TCGA-44-2656-01B-06R-A277-07	9821.871	Tumor
TCGA-55-6980-01A-11R-1949-07	23.39599	Tumor
TCGA-50-8457-01A-11R-2326-07	19.71039	Tumor
TCGA-44-6146-01A-11R-A278-07	369.8857	Tumor
TCGA-35-5375-01A-01R-1628-07	1.719564	Tumor
TCGA-50-5931-01A-11R-1755-07	22.31338	Tumor
TCGA-55-6971-01A-11R-1949-07	25.59496	Tumor
TCGA-64-1679-01A-21R-2066-07	4.410711	Tumor
TCGA-95-7948-01A-11R-2187-07	10.23392	Tumor
TCGA-64-5815-01A-01R-1628-07	4.631881	Tumor
TCGA-05-4426-01A-01R-1206-07	12.68745	Tumor
TCGA-78-7158-01A-11R-2039-07	17.77276	Tumor
TCGA-97-8172-01A-11R-2287-07	76.40968	Tumor
TCGA-91-6840-01A-11R-1949-07	40.32473	Tumor
TCGA-55-8299-01A-11R-2287-07	37.82682	Tumor
TCGA-49-6767-01A-11R-1858-07	15.3118	Tumor
TCGA-80-5607-01A-31R-1949-07	11.28788	Tumor
TCGA-L9-A444-01A-21R-A24H-07	93.29339	Tumor
TCGA-38-A44F-01A-11R-A24H-07	23.65615	Tumor
TCGA-78-7155-01A-11R-2039-07	11.04101	Tumor
TCGA-75-5126-01A-01R-1755-07	7.87668	Tumor
TCGA-86-8055-01A-11R-2241-07	8.117522	Tumor
TCGA-99-8025-01A-11R-2241-07	48.57362	Tumor
TCGA-78-7633-01A-11R-2066-07	17.16149	Tumor
TCGA-49-6745-01A-11R-1858-07	6.947792	Tumor
TCGA-97-A4LX-01A-11R-A24X-07	24.76807	Tumor
TCGA-78-7147-01A-11R-2039-07	31.24353	Tumor
TCGA-55-A493-01A-11R-A24H-07	26.14736	Tumor
TCGA-86-7711-01A-11R-2066-07	6.05768	Tumor
TCGA-35-3615-01A-01R-0946-07	26.84776	Tumor
TCGA-50-5946-01A-11R-1755-07	51.84543	Tumor
TCGA-44-3918-01B-02R-A277-07	3604.645	Tumor
TCGA-93-A4JQ-01A-11R-A24X-07	45.43328	Tumor
TCGA-55-7910-01A-11R-2170-07	116.8222	Tumor
TCGA-55-8506-01A-11R-2403-07	20.73056	Tumor
TCGA-78-7540-01A-11R-2066-07	11.17869	Tumor
TCGA-86-7713-01A-11R-2066-07	10.21185	Tumor
TCGA-50-5051-01A-21R-1858-07	68.82716	Tumor
TCGA-55-8204-01A-11R-2241-07	11.45096	Tumor
TCGA-MP-A4TJ-01A-51R-A262-07	47.19898	Tumor
TCGA-97-7554-01A-11R-2039-07	11.10874	Tumor
TCGA-05-4434-01A-01R-1206-07	21.26805	Tumor
TCGA-86-8585-01A-11R-2403-07	29.3967	Tumor
TCGA-64-5781-01A-01R-1628-07	5.714723	Tumor
TCGA-MP-A4T7-01A-11R-A24X-07	28.10451	Tumor
TCGA-73-A9RS-01A-11R-A41B-07	31.34136	Tumor
TCGA-05-4415-01A-22R-1858-07	9.543396	Tumor
TCGA-93-8067-01A-11R-2287-07	21.86793	Tumor
TCGA-44-6148-01A-11R-1755-07	17.93305	Tumor
TCGA-95-7947-01A-11R-2187-07	18.25739	Tumor
TCGA-97-7937-01A-11R-2170-07	112.2491	Tumor
TCGA-78-8660-01A-11R-2403-07	33.63824	Tumor
TCGA-99-8032-01A-11R-2241-07	41.17955	Tumor
TCGA-50-5072-01A-21R-1858-07	10.33889	Tumor
TCGA-05-4402-01A-01R-1206-07	8.737075	Tumor
TCGA-55-6970-01A-11R-1949-07	13.53188	Tumor
TCGA-86-8669-01A-11R-2403-07	12.49613	Tumor
TCGA-69-7764-01A-11R-2170-07	85.67585	Tumor
TCGA-38-4625-01A-01R-1206-07	3.84759	Tumor
TCGA-55-7283-01A-11R-2039-07	7.726174	Tumor
TCGA-73-4668-01A-01R-1206-07	38.54133	Tumor
TCGA-44-2666-01A-01R-A278-07	887.3003	Tumor
TCGA-55-7907-01A-11R-2170-07	31.32194	Tumor
TCGA-55-6975-01A-11R-1949-07	6.133107	Tumor
TCGA-50-6594-01A-11R-1755-07	20.62838	Tumor
TCGA-44-6774-01A-21R-1858-07	14.15784	Tumor
TCGA-55-8203-01A-11R-2241-07	36.1534	Tumor
TCGA-49-AAR0-01A-21R-A39D-07	43.30669	Tumor
TCGA-50-5933-01A-11R-1755-07	10.76809	Tumor
TCGA-L9-A7SV-01A-11R-A39D-07	70.38175	Tumor
TCGA-44-2661-01A-01R-1107-07	8.020105	Tumor
TCGA-05-4422-01A-01R-1206-07	48.10037	Tumor
TCGA-L4-A4E6-01A-11R-A24H-07	38.22372	Tumor
TCGA-55-7570-01A-11R-2039-07	18.71479	Tumor
TCGA-05-4250-01A-01R-1107-07	7.945133	Tumor
TCGA-97-A4M1-01A-11R-A24X-07	50.1944	Tumor
TCGA-S2-AA1A-01A-12R-A39D-07	39.88446	Tumor
TCGA-38-4628-01A-01R-1206-07	1.422681	Tumor
TCGA-86-A4D0-01A-11R-A24H-07	26.40231	Tumor
TCGA-78-7166-01A-12R-2066-07	28.95513	Tumor
TCGA-49-AARQ-01A-11R-A41B-07	183.6169	Tumor
TCGA-50-6593-01A-11R-1755-07	27.18552	Tumor
TCGA-44-3918-01A-01R-1107-07	6.032805	Tumor
TCGA-44-2659-01A-01R-0946-07	60.56334	Tumor
TCGA-44-6778-01A-11R-1858-07	39.70485	Tumor
TCGA-86-A4JF-01A-11R-A24X-07	12.64295	Tumor
TCGA-62-A470-01A-11R-A24H-07	65.44393	Tumor
TCGA-86-8076-01A-31R-2241-07	19.86544	Tumor
TCGA-44-3398-01A-01R-1107-07	7.289002	Tumor
TCGA-78-7154-01A-11R-2039-07	5.70751	Tumor
TCGA-MP-A4TI-01A-21R-A24X-07	25.77826	Tumor
TCGA-55-8302-01A-11R-2326-07	18.16341	Tumor
TCGA-91-8496-01A-11R-2403-07	4.817517	Tumor
TCGA-99-8033-01A-11R-2241-07	45.19474	Tumor
TCGA-97-7547-01A-11R-2039-07	19.94214	Tumor
TCGA-55-6979-01A-11R-1949-07	22.9512	Tumor
TCGA-86-7714-01A-12R-2170-07	25.21993	Tumor
TCGA-95-7944-01A-11R-2187-07	13.88751	Tumor
TCGA-91-6830-01A-11R-1949-07	38.37954	Tumor
TCGA-44-2662-01A-01R-A278-07	533.895	Tumor
TCGA-35-4123-01A-01R-1107-07	4.563207	Tumor
TCGA-55-8301-01A-11R-2287-07	37.55178	Tumor
TCGA-44-8120-01A-11R-2241-07	17.7349	Tumor
TCGA-55-6981-01A-11R-1949-07	32.2507	Tumor
TCGA-86-8668-01A-11R-2403-07	30.52288	Tumor
TCGA-97-8174-01A-11R-2287-07	29.40896	Tumor
TCGA-50-5941-01A-11R-1755-07	11.73678	Tumor
TCGA-73-4658-01A-01R-1755-07	11.15482	Tumor
TCGA-05-4244-01A-01R-1107-07	113.1689	Tumor
TCGA-55-6968-01A-11R-1949-07	26.79539	Tumor
TCGA-67-3771-01A-01R-0946-07	38.1339	Tumor
